h31|0|	5.896349334982981E7|275.0
h31|1000|	1.2640098800898893E8|0.0
h31|1005|	1.2965868265149505E8|0.0
h31|100|	1.1030457389550999E8|0.0
h31|1010|	1.3769725351346758E8|0.0
h31|1015|	1.278515802644999E8|0.0
h31|1020|	1.3145448571695395E8|0.0
h31|1025|	1.2575376511800916E8|0.0
h31|1030|	1.429052637255065E8|0.0
h31|1035|	1.226853531829478E8|0.0
h31|1040|	1.2654347366956763E8|0.0
h31|1045|	1.2557845226554962E8|0.0
h31|1050|	1.2332560270163657E8|0.0
h31|1055|	1.2703786525334445E8|0.0
h31|105|	1.2073046587840861E8|0.0
h31|1060|	1.4675417363267416E8|0.0
h31|1065|	1.438231496067972E8|0.0
h31|1070|	1.5902325152619386E8|300.0
h31|1075|	1.381480087131617E8|0.0
h31|1080|	1.5775107215352064E8|0.0
h31|1085|	1.5018136571058849E8|0.0
h31|1090|	1.5388507488596663E8|0.0
h31|1095|	1.573848759721975E8|0.0
h31|10|	8.478641670020048E7|0.0
h31|1100|	1.6093665933124924E8|0.0
h31|1105|	1.5999489654774868E8|0.0
h31|110|	1.110749220398091E8|0.0
h31|1110|	1.6237515538620207E8|0.0
h31|1115|	1.612150864333253E8|0.0
h31|1120|	1.6526675488045225E8|0.0
h31|1125|	1.6662667691285232E8|300.0
h31|1130|	1.624548996408412E8|0.0
h31|1135|	1.6282881598051226E8|0.0
h31|1140|	1.605102611222341E8|0.0
h31|1145|	1.6295257597855908E8|0.0
h31|1150|	1.634432236310119E8|0.0
h31|1155|	1.6086180113413736E8|0.0
h31|115|	1.2439991419826457E8|0.0
h31|1160|	1.5921615128168815E8|0.0
h31|1165|	1.6519182747561684E8|0.0
h31|1170|	1.5030533881682646E8|0.0
h31|1175|	1.512937197019387E8|0.0
h31|1180|	1.91822622944762E8|0.0
h31|1185|	1.7540432421660596E8|0.0
h31|1190|	1.7578173793928885E8|0.0
h31|1195|	1.741328559192087E8|0.0
h31|1200|	1.6741200087983787E8|0.0
h31|1205|	1.7079657839366055E8|0.0
h31|120|	1.2562957756557696E8|0.0
h31|1210|	1.4684412216011876E8|0.0
h31|1215|	1.4458707009983945E8|0.0
h31|1220|	1.4916505168068248E8|0.0
h31|1225|	1.4169494104448193E8|0.0
h31|1230|	1.533385416079211E8|0.0
h31|1235|	1.3465819834116563E8|0.0
h31|1240|	1.3623878388314414E8|0.0
h31|1245|	1.509347704060565E8|0.0
h31|1250|	1.1817112824214852E8|0.0
h31|1255|	1.1729231807592885E8|0.0
h31|125|	1.247463544062123E8|0.0
h31|1260|	1.3274161621093006E8|0.0
h31|1265|	1.1784082698166288E8|0.0
h31|1270|	1.1567337418537225E8|0.0
h31|1275|	1.2044815396058723E8|0.0
h31|1280|	1.145511590840284E8|0.0
h31|1285|	1.1741412887431017E8|0.0
h31|1290|	1.1905187067976189E8|0.0
h31|1295|	1.0590116065487795E8|0.0
h31|1300|	1.1454421999360465E8|0.0
h31|1305|	1.1318488284430474E8|312.0
h31|130|	1.2827106658162603E8|0.0
h31|1310|	1.08730568794661E8|0.0
h31|1315|	1.1148896601837423E8|0.0
h31|1320|	1.1250217217593284E8|0.0
h31|1325|	1.0772936111184368E8|0.0
h31|1330|	1.1683614210180078E8|0.0
h31|1335|	1.1712190955695195E8|0.0
h31|1340|	1.2654171172294629E8|0.0
h31|1345|	1.0416841586565322E8|0.0
h31|1350|	1.1514192543534315E8|0.0
h31|1355|	1.019439800729485E8|290.0
h31|135|	1.2827904968903199E8|0.0
h31|1360|	9.768948075352784E7|0.0
h31|1365|	9.391808939411612E7|0.0
h31|1370|	9.621104041787131E7|0.0
h31|1375|	9.344469677125709E7|0.0
h31|1380|	9.61203352708512E7|0.0
h31|1385|	1.3570261424039474E8|0.0
h31|1390|	1.1302487251935805E8|0.0
h31|1395|	1.2576700886441387E8|0.0
h31|1400|	1.0030197081735437E8|0.0
h31|1405|	8.633781884960744E7|0.0
h31|140|	1.1457815308320348E8|0.0
h31|1410|	1.0189367108670714E8|0.0
h31|1415|	1.0822216960882647E8|0.0
h31|1420|	9.07048568024883E7|0.0
h31|1425|	9.517074433436102E7|0.0
h31|1430|	9.536412627043612E7|0.0
h31|1435|	9.231458843755297E7|0.0
h31|145|	1.1462118583680189E8|0.0
h31|150|	1.0943928787273733E8|0.0
h31|155|	1.1877483697866449E8|0.0
h31|15|	1.035452076845022E8|0.0
h31|160|	8.263913795293126E7|0.0
h31|165|	8.651439227197982E7|0.0
h31|170|	8.545433538230614E7|0.0
h31|175|	8.468090227045499E7|0.0
h31|180|	8.365079246700935E7|0.0
h31|185|	8.066702714115846E7|0.0
h31|190|	7.54181680549168E7|0.0
h31|195|	7.401851244995378E7|0.0
h31|200|	7.34024620913912E7|0.0
h31|205|	7.791456895317647E7|0.0
h31|20|	9.219109138713484E7|0.0
h31|210|	7.834792733551162E7|255.0
h31|215|	8.06590426303851E7|0.0
h31|220|	9.33198166319091E7|0.0
